epoch,loss,masked_acc
1,2.7583930859639874,0.140887677894283
2,2.683155865399459,0.1656188632863823
3,2.6510694693514725,0.17443810209650487
4,2.631002971299459,0.1812745708785156
5,2.612233269800284,0.18798279324010064
6,2.602149901658446,0.18992000508128287
7,2.593464918843882,0.19221263648510958
8,2.585225015086653,0.19553801608881646
9,2.576131793858249,0.19701811189503302
10,2.5740512874950614,0.19866376653464926
11,2.5679285475349207,0.20106315897009558
12,2.565503737532218,0.2006642601310225
13,2.5615169708884293,0.20294590932189036
14,2.5605139463350874,0.20182050010625488
15,2.557361446664098,0.20271081571679817
16,2.553819185485014,0.2042397339441084
17,2.5537155005954477,0.20404665253594692
18,2.5491084348450155,0.20632588626683712
19,2.5454938455485685,0.20765373672497817
20,2.544716304574684,0.20689398925667213
21,2.5486012993315565,0.20614280831210202
22,2.5445670304808377,0.20683237695094958
23,2.542206169507121,0.20846556368919167
24,2.543932067915056,0.2081394855550999
25,2.540447530430953,0.20973469445385745
26,2.5389183548249914,0.20879834078756154
27,2.5359145475283067,0.20974368938898802
28,2.536617868494143,0.20995111031329525
29,2.5349202574871614,0.2098255863178393
30,2.5347600136113044,0.21064737000406927
31,2.5337685373712833,0.21113905450846307
32,2.5310149826524295,0.21117456288776085
33,2.5311309970240616,0.21139072473592047
34,2.5298572285840564,0.21220070067769886
35,2.5302480123063313,0.2104949335290299
36,2.5253979162549034,0.21344480283449674
37,2.529467732523446,0.21157270238505768
38,2.529505475114221,0.2108565540216256
39,2.523041423318946,0.21373384817371288
40,2.5250065157567563,0.21260190637876455
41,2.526354507106432,0.21279927764217893
42,2.5235976801988746,0.21391025188739152
43,2.523901933164854,0.21404681089277997
44,2.5218959958357545,0.21389167502507522
45,2.5230457542112075,0.2142014884272662
46,2.519391713550517,0.21545532082866348
47,2.5211674321681374,0.2149158573652606
48,2.5182748178440653,0.21531928390188892
49,2.5169510766638057,0.21566448271360578
50,2.5179530156291747,0.21577331109787012
51,2.5175281064472803,0.21516155523461614
52,2.516710639846739,0.21629497282753193
53,2.5198932257324413,0.21398227340728823
54,2.518410402687099,0.21449209916352385
55,2.5179453815588873,0.21499327252116243
56,2.5185525006339775,0.21506302439437633
57,2.5173250328167427,0.2153904213708042
58,2.5152967584369423,0.21615536365272567
59,2.5143415353010514,0.2154109891663574
60,2.5154139210597384,0.21578952952535216
61,2.5126669137288737,0.2164838927145726
62,2.513996543669202,0.215881947024789
63,2.5120868175468316,0.2159766660774262
64,2.5151882980508318,0.21581318813251693
65,2.5124821558491814,0.2167745164382789
66,2.5127812256821813,0.2162813425016141
67,2.5112758274991727,0.21606157739052378
68,2.5105547610424024,0.21634902411021814
69,2.507835884382269,0.21759177472352753
70,2.510264414434882,0.21701433629755673
71,2.509789577633547,0.2166185307846031
72,2.5097663596764708,0.21715294391222698
73,2.5107165387085266,0.21690831481285497
74,2.5124840784520557,0.2162944698837619
75,2.509115341491229,0.21680311766642243
76,2.511618821083608,0.21636783166451448
77,2.509335637515398,0.21750949880802725
